method,idx,valid,proximity_l1,sparsity,concentration
shap_guided_consistent,837,1,14.500000000000004,0.6,1.0
shap_guided_consistent,722,1,3.799999999999997,0.2,1.0
shap_guided_consistent,722,1,4.299999999999997,0.4,0.9390680652493142
shap_guided_consistent,722,1,7.299999999999997,0.4,0.9390680652493142
shap_guided_consistent,573,1,9.1,0.6,1.0
shap_guided_consistent,573,1,16.2,0.6,1.0
shap_guided_consistent,1063,1,6.799999999999995,0.4,1.0
shap_guided_consistent,1063,1,9.099999999999994,0.6,1.0
shap_guided_consistent,1063,1,5.1999999999999975,0.4,0.6393389202202392
shap_guided_consistent,950,1,17.4,0.4,0.9148606793986441
shap_guided_consistent,950,1,23.0,0.4,0.9148606793986441
shap_guided_consistent,950,1,7.900000000000003,0.4,1.0
shap_guided_consistent,978,1,8.899999999999997,0.4,0.9130180754068422
shap_guided_consistent,978,1,13.799999999999997,0.4,0.9130180754068422
shap_guided_consistent,978,1,12.400000000000002,0.4,0.9130180754068422
shap_guided_consistent,377,1,7.21,0.6,1.0
shap_guided_consistent,377,1,15.910000000000004,0.6,1.0
shap_guided_consistent,377,1,16.910000000000004,0.6,1.0
shap_guided_consistent,10,1,4.539999999999998,0.4,1.0
shap_guided_consistent,10,1,9.84,0.4,1.0
shap_guided_consistent,10,1,10.459999999999999,0.6,1.0
shap_guided_consistent,32,1,11.000000000000014,0.4,0.5633972947456923
shap_guided_consistent,32,1,11.000000000000014,0.4,0.5633972947456923
shap_guided_consistent,32,1,8.000000000000014,0.4,0.5633972947456923
