method,validity,proximity,sparsity,alignment,n
shap_guided_consistent,1.0,9.738275862068967,0.4724137931034483,0.924949464837677,58
standard_consistent,0.9833333333333333,16.74233333333333,0.7433333333333334,0.8775749474672653,60
