model,threshold,recall,precision,f1
XGBoost,0.51,0.42028985507246375,0.34523809523809523,0.3790849673202614
LightGBM,0.285,0.42028985507246375,0.31521739130434784,0.36024844720496896
CatBoost,0.295,0.42028985507246375,0.31868131868131866,0.3625
AutoGluon,0.28,0.42028985507246375,0.5576923076923077,0.4793388429752066
