method,idx,valid,proximity_l1,sparsity,concentration
standard_consistent,460,1,8.100000000000005,0.8333333333333334,0.5649551493943891
standard_consistent,460,1,9.000000000000004,0.8333333333333334,0.5649551493943891
standard_consistent,460,1,17.000000000000004,0.8333333333333334,0.5649551493943891
standard_consistent,438,1,7.499999999999997,0.5,1.0
standard_consistent,438,1,8.299999999999997,0.5,1.0
standard_consistent,438,1,13.299999999999997,0.6666666666666666,1.0
standard_consistent,372,1,16.199999999999996,0.5,0.9985421192244907
standard_consistent,372,1,17.899999999999995,0.6666666666666666,1.0
standard_consistent,372,1,20.599999999999994,0.6666666666666666,0.9091563553104568
standard_consistent,141,1,18.67,0.8333333333333334,0.9808799433342911
standard_consistent,141,1,19.83,0.8333333333333334,0.9808799433342911
standard_consistent,141,1,20.53,0.6666666666666666,0.9771752485596115
standard_consistent,437,1,28.700000000000006,0.8333333333333334,0.8040696582258361
standard_consistent,437,1,16.3,0.6666666666666666,0.838690129952219
standard_consistent,437,1,18.5,0.6666666666666666,0.9606402115484266
standard_consistent,163,1,40.5,0.8333333333333334,0.7536772571670639
standard_consistent,163,1,41.3,1.0,1.0
standard_consistent,163,1,43.8,1.0,1.0
standard_consistent,538,1,11.24,0.6666666666666666,0.8647388461011216
standard_consistent,538,1,12.24,0.8333333333333334,0.9481862095534063
standard_consistent,538,1,10.74,0.6666666666666666,0.8647388461011216
standard_consistent,672,1,9.500000000000004,0.8333333333333334,0.6800991317572317
standard_consistent,672,1,13.200000000000006,0.8333333333333334,0.6800991317572317
standard_consistent,672,1,14.000000000000004,0.8333333333333334,0.6800991317572317
standard_consistent,659,1,8.000000000000004,0.6666666666666666,0.6627220332512267
standard_consistent,659,1,17.299999999999997,0.6666666666666666,0.712360907506646
standard_consistent,659,1,25.000000000000004,0.8333333333333334,0.665460013919462
standard_consistent,944,1,3.900000000000002,0.6666666666666666,1.0
standard_consistent,944,1,10.2,0.8333333333333334,0.8296318421317099
standard_consistent,944,1,28.200000000000003,0.5,0.6492561029907511
standard_consistent,428,1,27.980000000000004,0.5,0.963053735835341
standard_consistent,428,1,27.380000000000003,0.6666666666666666,0.8650458630683229
standard_consistent,428,1,25.67999999999999,0.6666666666666666,0.835501648648546
standard_consistent,837,1,10.0,0.8333333333333334,0.9512128497320681
standard_consistent,837,1,18.400000000000002,0.6666666666666666,0.9156583923046887
standard_consistent,837,1,17.3,1.0,1.0
standard_consistent,722,1,15.000000000000004,0.6666666666666666,0.6067657566093638
standard_consistent,722,1,9.299999999999997,0.5,0.7333819977188085
standard_consistent,722,1,17.000000000000004,0.8333333333333334,0.6680286646743709
standard_consistent,573,1,20.599999999999994,0.6666666666666666,0.7087806966808641
standard_consistent,573,1,18.0,0.8333333333333334,0.742242219748517
standard_consistent,573,1,85.3,0.8333333333333334,0.8121439954600793
standard_consistent,1063,1,10.000000000000004,0.6666666666666666,0.623027595321921
standard_consistent,1063,1,9.799999999999995,0.6666666666666666,0.7695782987527786
standard_consistent,1063,1,9.199999999999998,0.6666666666666666,0.7061222190209772
standard_consistent,950,1,11.2,0.5,0.9538601895859056
standard_consistent,950,1,8.7,0.5,0.9538601895859056
standard_consistent,950,1,14.6,0.5,0.9538601895859056
standard_consistent,978,1,22.599999999999994,0.8333333333333334,0.9732458585047747
standard_consistent,978,1,20.799999999999997,0.6666666666666666,0.9213271581026108
standard_consistent,978,1,26.5,0.8333333333333334,0.9001523127964134
standard_consistent,377,1,16.61,0.6666666666666666,0.9573447333797026
standard_consistent,377,1,94.61,0.6666666666666666,0.9573447333797026
standard_consistent,377,1,18.810000000000002,0.6666666666666666,0.9311859709028136
standard_consistent,10,1,15.239999999999995,0.5,1.0
standard_consistent,10,1,17.839999999999996,0.6666666666666666,1.0
standard_consistent,10,1,20.24,0.6666666666666666,0.9643910314917611
standard_consistent,32,1,7.400000000000015,0.6666666666666666,0.7636967084654486
standard_consistent,32,1,11.500000000000014,0.6666666666666666,0.7636967084654486
standard_consistent,32,1,14.699999999999989,0.6666666666666666,0.6424295658697041
shap_guided_consistent,460,1,4.299999999999997,0.16666666666666666,1.0
shap_guided_consistent,460,1,4.999999999999997,0.3333333333333333,0.9532465133632625
shap_guided_consistent,460,1,5.299999999999997,0.3333333333333333,0.9532465133632625
shap_guided_consistent,438,1,5.6999999999999975,0.3333333333333333,0.6317243558099208
shap_guided_consistent,438,1,8.799999999999997,0.3333333333333333,0.6317243558099208
shap_guided_consistent,438,1,6.599999999999998,0.5,1.0
shap_guided_consistent,372,1,4.199999999999996,0.3333333333333333,1.0
shap_guided_consistent,372,1,4.399999999999999,0.3333333333333333,1.0
shap_guided_consistent,372,1,10.299999999999995,0.5,1.0
shap_guided_consistent,141,1,6.83,0.5,1.0
shap_guided_consistent,141,1,15.930000000000001,0.5,1.0
shap_guided_consistent,141,1,11.530000000000001,0.5,1.0
shap_guided_consistent,437,1,8.3,0.3333333333333333,1.0
shap_guided_consistent,437,1,13.399999999999999,0.3333333333333333,1.0
shap_guided_consistent,163,1,2.3000000000000007,0.5,1.0
shap_guided_consistent,163,1,8.3,0.5,1.0
shap_guided_consistent,163,1,9.3,0.5,1.0
shap_guided_consistent,538,1,7.74,0.3333333333333333,0.8849258788726079
shap_guided_consistent,538,1,9.540000000000001,0.5,1.0
shap_guided_consistent,538,1,5.4399999999999995,0.5,1.0
shap_guided_consistent,672,1,3.299999999999997,0.3333333333333333,1.0
shap_guided_consistent,672,1,5.299999999999997,0.16666666666666666,1.0
shap_guided_consistent,659,1,2.299999999999997,0.3333333333333333,1.0
shap_guided_consistent,659,1,7.9999999999999964,0.3333333333333333,0.9675988233413071
shap_guided_consistent,659,1,4.399999999999996,0.3333333333333333,0.9675988233413071
shap_guided_consistent,944,1,14.700000000000003,0.16666666666666666,0.7757688646381778
shap_guided_consistent,944,1,23.1,0.16666666666666666,0.7757688646381778
shap_guided_consistent,944,1,2.0,0.3333333333333333,1.0
shap_guided_consistent,428,1,14.380000000000006,0.3333333333333333,0.9721628046273653
shap_guided_consistent,428,1,14.380000000000004,0.5,1.0
shap_guided_consistent,428,1,16.28000000000001,0.5,1.0
shap_guided_consistent,837,1,7.300000000000001,0.5,1.0
shap_guided_consistent,837,1,11.500000000000004,0.5,1.0
shap_guided_consistent,837,1,8.0,0.5,1.0
shap_guided_consistent,722,1,2.0000000000000036,0.3333333333333333,0.6399402999310997
shap_guided_consistent,722,1,5.0000000000000036,0.3333333333333333,0.6399402999310997
shap_guided_consistent,722,1,7.0000000000000036,0.3333333333333333,0.6399402999310997
shap_guided_consistent,573,1,2.0,0.3333333333333333,0.8553281924628775
shap_guided_consistent,573,1,11.0,0.3333333333333333,1.0
shap_guided_consistent,573,1,11.5,0.3333333333333333,1.0
shap_guided_consistent,1063,1,6.0000000000000036,0.3333333333333333,0.7904617116356366
shap_guided_consistent,1063,1,6.799999999999995,0.3333333333333333,1.0
shap_guided_consistent,1063,1,7.0,0.3333333333333333,1.0
shap_guided_consistent,950,1,6.2,0.3333333333333333,1.0
shap_guided_consistent,950,1,13.1,0.3333333333333333,1.0
shap_guided_consistent,950,1,4.699999999999998,0.3333333333333333,1.0
shap_guided_consistent,978,1,8.899999999999997,0.3333333333333333,0.9130180754068422
shap_guided_consistent,978,1,13.799999999999997,0.3333333333333333,0.9130180754068422
shap_guided_consistent,978,1,12.5,0.5,1.0
shap_guided_consistent,377,1,9.290000000000003,0.5,1.0
shap_guided_consistent,377,1,7.21,0.5,1.0
shap_guided_consistent,377,1,8.21,0.5,1.0
shap_guided_consistent,10,1,4.539999999999998,0.3333333333333333,1.0
shap_guided_consistent,10,1,9.84,0.3333333333333333,1.0
shap_guided_consistent,10,1,9.959999999999999,0.5,1.0
shap_guided_consistent,32,1,2.000000000000014,0.3333333333333333,0.7127027812117877
shap_guided_consistent,32,1,6.000000000000014,0.3333333333333333,0.7127027812117877
shap_guided_consistent,32,1,8.000000000000014,0.3333333333333333,0.7127027812117877
