method,alignment_mean,proximity_mean,sparsity_mean,validity,n_cfs
standard,0.75235325,179.72429359257214,0.8041666666666668,0.9833333333333332,60
shap_guided,0.66047794,107.89462974775114,0.4902777777777778,0.9833333333333332,60
