Feature,Mean |SHAP|
glucose,1.4538241624832153
weight,0.8955491185188293
bmi_age,0.8106980919837952
diastolic_bp,0.7974233627319336
glucose_bmi,0.5013275146484375
age,0.49793142080307007
pulse_rate,0.4932103455066681
bmi,0.45287448167800903
gender,0.36782607436180115
systolic_bp,0.3365766406059265
pulse_pressure,0.3008887767791748
cardio_risk,0.2771703898906708
bp_ratio,0.2319273203611374
hypertensive,0.05541706830263138
family_risk,0.02721146121621132
family_hypertension,0.026426760479807854
