model,setting,threshold,precision,recall,f1,accuracy,auc_roc,auc_pr,brier
XGBoost,@0.50 (published),0.5,0.3411764705882353,0.42028985507246375,0.37662337662337664,0.9117647058823529,0.8202983885878454,0.2914388636523218,0.07110869500198207
XGBoost,@F1-optimal,0.505,0.34523809523809523,0.42028985507246375,0.3790849673202614,0.9126838235294118,0.8202983885878454,0.2914388636523218,0.07110869500198207
LightGBM,@0.50 (published),0.5,0.3380281690140845,0.34782608695652173,0.34285714285714286,0.9154411764705882,0.8197010425111291,0.29709136379679235,0.06648378013291488
LightGBM,@F1-optimal,0.155,0.30578512396694213,0.5362318840579711,0.3894736842105263,0.8933823529411765,0.8197010425111291,0.29709136379679235,0.06648378013291488
CatBoost,@0.50 (published),0.5,0.31746031746031744,0.2898550724637681,0.30303030303030304,0.9154411764705882,0.8084794697842443,0.27252156682474904,0.06824976088131215
CatBoost,@F1-optimal,0.155,0.28346456692913385,0.5217391304347826,0.3673469387755102,0.8860294117647058,0.8084794697842443,0.27252156682474904,0.06824976088131215
AutoGluon,@0.50 (published),0.5,0.7083333333333334,0.2463768115942029,0.3655913978494624,0.9457720588235294,0.8857931191420972,0.4882130366698285,0.04384829242176586
AutoGluon,@F1-optimal,0.3,0.6222222222222222,0.4057971014492754,0.49122807017543857,0.9466911764705882,0.8857931191420972,0.4882130366698285,0.04384829242176586
