model,accuracy,precision,recall,f1,auc_roc,auc_pr,brier
XGBoost,0.9117647058823528,0.3411764705882353,0.4202898550724637,0.3766233766233766,0.8202983885878454,0.2914388636523218,0.0711086949387524
LightGBM,0.9154411764705882,0.3380281690140845,0.3478260869565217,0.3428571428571428,0.8197010425111291,0.2970913637967923,0.0664837801329148
CatBoost,0.9154411764705882,0.3174603174603174,0.2898550724637681,0.303030303030303,0.8084794697842443,0.272521566824749,0.0682497608813121
AutoGluon,0.9457720588235294,0.7083333333333334,0.2463768115942029,0.3655913978494624,0.8857931191420972,0.4882130366698285,0.0438482926298906
